date,ticker,actual,forecast
2024-01-26,AMZN,191.27162,191.75737
2024-01-29,AMZN,190.58575,190.03377
2024-01-30,AMZN,186.91776,189.36328
2024-01-31,AMZN,183.2995,185.71938
2024-02-01,AMZN,185.74481,182.14252
2024-02-02,AMZN,184.74084,184.60982
2024-02-05,AMZN,186.55992,183.58073
2024-02-06,AMZN,188.17024,185.40514
2024-02-07,AMZN,188.2796,187.00708
2024-02-08,AMZN,187.19609,187.10764
2024-02-09,AMZN,187.96246,185.9792
2024-02-12,AMZN,186.27045,186.80759
2024-02-13,AMZN,184.17038,185.09827
2024-02-14,AMZN,183.28456,182.96294
2024-02-15,AMZN,182.99594,182.13582
2024-02-16,AMZN,181.4532,181.83838
2024-02-20,AMZN,180.70674,180.30782
2024-02-21,AMZN,181.46317,179.52197
2024-02-22,AMZN,183.50351,180.29054
2024-02-23,AMZN,181.66225,182.3442
2024-02-26,AMZN,180.30861,180.4793
2024-02-27,AMZN,181.77171,179.12262
2024-02-28,AMZN,180.5674,180.61365
2024-02-29,AMZN,179.90054,179.42616
2024-03-01,AMZN,178.81566,178.76181
2024-03-04,AMZN,174.2771,177.68651
2024-03-05,AMZN,169.3205,173.33163
2024-03-06,AMZN,168.3252,168.56773
2024-03-07,AMZN,168.20575,167.57022
2024-03-08,AMZN,169.92763,167.41391
2024-03-11,AMZN,171.93814,169.09828
2024-03-12,AMZN,172.41586,170.99419
2024-03-13,AMZN,170.32576,171.42744
2024-03-14,AMZN,172.18697,169.48718
2024-03-15,AMZN,171.80875,171.23668
2024-03-18,AMZN,172.90358,170.91031
2024-03-19,AMZN,175.2525,171.97664
2024-03-20,AMZN,177.8303,174.16998
2024-03-21,AMZN,170.5646,176.6807
2024-03-22,AMZN,171.47034,169.81572
2024-03-25,AMZN,170.04707,170.666
2024-03-26,AMZN,168.91243,169.28688
2024-03-27,AMZN,172.4955,168.17291
2024-03-28,AMZN,170.67409,171.54778
2022-05-13,AMGN,221.46382,221.90298
2022-05-16,AMGN,223.67422,220.70541
2022-05-17,AMGN,225.03166,222.7139
2022-05-18,AMGN,223.75679,224.39503
2022-05-19,AMGN,224.49973,222.97064
2022-05-20,AMGN,227.00365,223.68517
2022-05-23,AMGN,228.41606,226.50734
2022-05-24,AMGN,231.03008,227.64507
2022-05-25,AMGN,232.05733,230.28264
2022-05-26,AMGN,232.09401,231.408
2022-05-27,AMGN,234.121,231.40088
2022-05-31,AMGN,235.47841,233.40761
2022-06-01,AMGN,232.43335,234.82465
2022-06-02,AMGN,227.71904,231.51521
2022-06-03,AMGN,227.87495,226.93135
2022-06-06,AMGN,225.11423,227.56606
2022-06-07,AMGN,226.0039,224.8434
2022-06-08,AMGN,225.15091,225.23804
2022-06-09,AMGN,221.72981,224.69945
2022-06-10,AMGN,220.13388,220.96873
2022-06-13,AMGN,217.16222,219.21773
2022-06-14,AMGN,216.18083,216.40727
2022-06-15,AMGN,216.07077,215.18987
2022-06-16,AMGN,211.60405,215.08623
2022-06-17,AMGN,215.28198,210.1682
2022-06-21,AMGN,218.6664,213.95384
2022-06-22,AMGN,220.25313,218.15862
2022-06-23,AMGN,222.95882,219.23314
2022-06-24,AMGN,225.05002,221.93925
2022-06-27,AMGN,224.57307,224.39182
2022-06-28,AMGN,223.34404,223.71365
2022-06-29,AMGN,225.10506,222.37508
2022-06-30,AMGN,223.15144,224.48299
2022-07-01,AMGN,225.21512,222.40874
2022-07-05,AMGN,226.29736,224.35121
2022-07-06,AMGN,224.93999,225.77351
2022-07-07,AMGN,226.93024,224.16058
2022-07-08,AMGN,227.90248,226.14326
2022-07-11,AMGN,227.26044,227.4153
2022-07-12,AMGN,226.51749,226.51527
2022-07-13,AMGN,226.62758,225.73163
2022-07-14,AMGN,225.25179,226.06897
2022-07-15,AMGN,228.09508,224.58328
2022-07-18,AMGN,223.64673,227.45361
2022-07-19,AMGN,226.83853,222.937
2022-07-20,AMGN,226.20569,226.03046
2022-07-21,AMGN,225.42606,225.62144
2022-07-22,AMGN,225.582,224.3622
2022-07-25,AMGN,228.12256,224.88126
2022-07-26,AMGN,230.34216,227.66606
2022-07-27,AMGN,230.87416,229.75584
2022-07-28,AMGN,229.0673,230.10768
2022-07-29,AMGN,226.9761,228.27554
2022-08-01,AMGN,225.29764,226.25261
2022-08-02,AMGN,223.71094,224.6608
2022-08-03,AMGN,226.67345,222.99138
2022-08-04,AMGN,226.52669,226.13924
2022-08-05,AMGN,225.85715,225.98508
2022-08-08,AMGN,226.81099,224.72421
2022-08-09,AMGN,227.79242,225.86815
2022-08-10,AMGN,231.2135,227.42477
2022-08-11,AMGN,227.78323,230.67781
2022-08-12,AMGN,227.81992,226.99138
2022-08-15,AMGN,230.28714,226.86435
2022-08-16,AMGN,232.18571,229.95514
2022-08-17,AMGN,231.60344,231.56935
2022-08-18,AMGN,230.79008,230.76923
2022-08-19,AMGN,231.86221,229.96361
2022-08-22,AMGN,228.20209,231.30539
2022-08-23,AMGN,225.95616,227.46562
2022-08-24,AMGN,225.97466,224.75572
2022-08-25,AMGN,227.07451,225.33615
2022-08-26,AMGN,222.42543,226.5351
2022-08-29,AMGN,221.25163,221.10197
2022-08-30,AMGN,221.0113,219.80421
2022-08-31,AMGN,222.10194,220.40388
2022-09-01,AMGN,226.90813,221.24648
2022-09-02,AMGN,224.01517,225.83264
2022-09-06,AMGN,223.87651,223.06519
2022-09-07,AMGN,226.2519,222.62819
2022-09-08,AMGN,226.86192,225.59958
2022-09-09,AMGN,228.93228,226.1476
2022-09-12,AMGN,219.62491,228.02174
2022-09-13,AMGN,209.67975,218.02321
2022-09-14,AMGN,210.8443,207.48799
2022-09-15,AMGN,210.41917,209.75325
2022-09-16,AMGN,213.63564,209.56093
2022-09-19,AMGN,213.28441,212.09169
2022-09-20,AMGN,210.46538,212.00053
2022-09-21,AMGN,207.4615,208.90265
2022-09-22,AMGN,210.50237,205.65895
